文本,回忆,回忆次数,覆盖率,准确率,遗漏,错字,总字数
"美国劳工部所作的研究表明，黑人移民的首要动机是改善自身的经济状况，而政治和社会的因素则在其次。 劳工部对促使南部黑人北迁的原因作了如下表述：", "美国劳工部所做的研究表明 美国黑人移民的主要动机是提升经济基础 政治和社会因素是其次 因此劳工部对促使南部黑人北迁的原因做出以下表述", 3, 0.815, 0.841, "作 首 改 善 自 身 状 况 而 则 在 作 了 如", "做 主 提 升 基 础 此 做 出 以", 65
"美国劳工部所作的研究表明，黑人移民的首要动机是改善自身的经济状况，而政治和社会的因素则在其次。 劳工部对促使南部黑人北迁的原因作了如下表述：", " 美国劳工部所做的研究表明，促使黑人移民的主要原因是改善自身的经济状况，而政治和社会因素在其次 因此劳工部对促使南方黑人北迁的原因作出如下表述。", 4, 0.954, 0.925, "首 动 机 则 了", "做 主 此 方 出", 65
"3.如果分歧依然存在，拥有一种大家一致同意的决策方式（如投票或者拥有清晰的权威），以便我们能够不带怨气地把分歧留在身后。", " 如果分歧 持续存在 选择一种不带怨恨的解决方式，比如投票或者决定权为让我们把分歧留在身后。", 1, 0.585, 0.756, "依 然 拥 有 大 家 致 同 意 策 拥 有 清 晰 威 以 便 能 够 气 地", "持 续 选 择 恨 解 比 定 为 让", 53
"3.如果分歧依然存在，拥有一种大家一致同意的决策方式（如投票或者拥有清晰的权威），以便我们能够不带怨气地把分歧留在身后。", "如果分歧依然存在  拥有一种大家一致同意的决策方式(例如投票或绝对权威) 把分歧都留在身后", 2, 0.679, 0.9, "者 清 晰 以 便 我 们 能 够 不 带 怨 气 地", "例 绝 对 都", 53
"3.如果分歧依然存在，拥有一种大家一致同意的决策方式（如投票或者拥有清晰的权威），以便我们能够不带怨气地把分歧留在身后。", " 如果分歧依然存在，用有一种大家一致同意的决策方式，例如投票或者绝对的权威，让我们不带怨气的把分歧留到最后。", 3, 0.792, 0.857, "拥 拥 清 晰 以 便 能 够 地 身", "用 例 绝 对 让 到 最", 53
"3.如果分歧依然存在，拥有一种大家一致同意的决策方式（如投票或者拥有清晰的权威），以便我们能够不带怨气地把分歧留在身后。", " 如果分歧依然存在，那么可以用大家一致同意的决策方式，如投票或者拥有清晰的权威， 以便大家能不带怨气的，把分歧留在身后。", 4, 0.925, 0.925, "种 我 们 够 地", "那 么 可 用", 53
"有些人可能在其他场合做得好，在那种情况下，他们应该被公司派到新岗位上。 有些人做不到，就得走人。 a.不要让员工尸位素餐。", " 有些人可能在其他场合做得更好，在这种情况下，他们应该被公司派到新的岗位上去，有些人他们没有能力，这种人就应该走人，不要让员工尸位素餐。", 1, 1.059, 0.885, "那", "更 这 的 去 没 力 这", 51
"有些人可能在其他场合做得好，在那种情况下，他们应该被公司派到新岗位上。 有些人做不到，就得走人。 a.不要让员工尸位素餐。", " 有些人在其他场合做得更好， 在那种情况下，他们应该被公司派到新的岗位去，有些人做不到他们就得走人，不要让员工尸位素餐。", 2, 0.98, 0.943, "可 能 上", "更 的 去", 51
"这场恶性循环导致人们变得悲观，于是他们卖掉自己的股票，股市继续下跌。 情况并不会变得特别糟糕，但当时所有人都担心会这样。", " 这场恶性循环使所有人变得悲观，于是他们卖掉自己的股票，使得股价进一步下跌; 情况不一定会变得更坏，只是所有人都担心这样。", 1, 0.796, 0.796, "导 致 市 继 续 并 特 别 糟 糕 但 当 时", "使 使 价 进 一 步 一 定 更 坏 只", 54
"这场恶性循环导致人们变得悲观，于是他们卖掉自己的股票，股市继续下跌。 情况并不会变得特别糟糕，但当时所有人都担心会这样。", " 这场恶性循环是人们开始变得悲观，于是卖掉自己的股票，导致股价下跌 实际情况 可能并没有想象的那么糟糕，但当时所有人都害怕。", 2, 0.759, 0.745, "他 市 继 续 不 会 特 别 担 心 会 样", "开 始 价 实 际 可 能 没 想 象 那 么 害 怕", 54
"这场恶性循环导致人们变得悲观，于是他们卖掉自己的股票，股市继续下跌。 情况并不会变得特别糟糕，但当时所有人都担心会这样。", "这场恶性循环导致人们变得悲观，于是他们卖掉自己的股票，股市继续下跌。 情况并不会变得特别糟糕，但当时所有人都担心会这样。", 3, 1.0, 1.0, "", "", 54
"这场恶性循环导致人们变得悲观，于是他们卖掉自己的股票，股市继续下跌。 情况并不会变得特别糟糕，但当时所有人都担心会这样。", " 这种恶性循环使得人们开始悲观，于是出售自己的股票，使得市场继续下跌，实际情况可能没有特别糟糕，但所有人都认为会这样。", 4, 0.722, 0.736, "导 致 变 他 卖 掉 并 不 变 当 时 担 心", "种 使 开 始 出 售 使 实 际 可 能 没 认 为", 54
"以美国和前苏联为代表的东西方格局形成。 1949年　世界上第一只对冲基金——琼斯基金成立 1952年　美国试爆第一颗氢弹。", "以美国和苏联为代表的东西方对立集团成立 1949 年 第一只对冲基金 琼斯基金 成立 1952 年 美国试爆第一课氢弹", 1, 0.889, 0.93, "前 格 局 形 世 界 上 颗", "集 团 课", 45
"从1879年1月1日开始，政府已经采用金本位货币制度，财政部也按照法定要求一直持有至少1亿美元的黄金储备，以随时满足兑换黄金的需求。", " 从1879年开始，政府已经开始采用金本位制度，银行也按照政府的要求一直持有至少有一亿美元的黄金，以满足随时兑换的要求", 1, 0.891, 0.961, "月 日 货 币 财 部 法 定 储 备 需", "银 行", 55
"在18世纪末期，这只能由州立法机构批准。 公司制是文艺复兴时期的一项发明，它对资本主义体系乃至现代社会的发展都是至关重要的。", " 在18世纪后期就只能由州立法机构批准公司是文艺复兴时期的发明，这对于资本主义的发展和人类社会的发展都是有重大意义的。", 1, 0.818, 0.833, "末 制 一 项 它 体 系 乃 至 现 代 至 关 要", "后 就 于 和 人 类 有 大 意", 55
"在18世纪末期，这只能由州立法机构批准。 公司制是文艺复兴时期的一项发明，它对资本主义体系乃至现代社会的发展都是至关重要的。", "在18世纪末期就只能由州立法院批准，公司制是文艺复兴时代的一项发明，他对资本主义乃至对现代整个社会都是有重大意义的。", 2, 0.818, 0.849, "这 机 构 它 体 系 展 关 要", "就 院 他 整 个 有 大 意", 55
"在18世纪末期，这只能由州立法机构批准。 公司制是文艺复兴时期的一项发明，它对资本主义体系乃至现代社会的发展都是至关重要的。", "在十八世纪末期 这只能由州立法机构批准 公司制是文艺复兴时代的一项发明 他对于资本主义体系乃至人类社会发展都至关重要", 3, 0.891, 0.891, "它 现", "十 八 他 于 人 类", 55
"但是到了18世纪末期，这些井被废弃物和日益增多的城市废水所污染。 富人能够买得起水贩们从城外运进来的饮用水，但是其他人只好听天由命了。", " 但是到了18世纪后期 这些井被废弃物和日益增多的城市废水所污染 富人能够买得起水贩们从城外运进来的水 其他人只好听天由命了", 1, 0.917, 0.982, "末 饮 用", "后", 60
"回顾350多年的历史，尤其是最近100年的历史，华尔街的作用在不断丰富和深化，投资人在华尔街追逐自身利益的同时，“看不见的手”帮助实现了社会资源的优化配置。", " 回顾过去350年的历史，尤其是最近一百年的历史华尔街的作用，在不断优化和深入投资人在追逐自身利益的同时看不见的手完成了对社会资源的优化。", 1, 0.831, 0.871, "多 丰 富 帮 助 实 现 配 置", "过 去 一 百 入 完 成 对", 65
"回顾350多年的历史，尤其是最近100年的历史，华尔街的作用在不断丰富和深化，投资人在华尔街追逐自身利益的同时，“看不见的手”帮助实现了社会资源的优化配置。", " 回顾过去350年的历史，尤其是过去一百年的历史华尔街的作用，在不断丰富和深化投资人在追逐自身经济利益的同时，看不见的手帮助完成了对社会资源的配置优化。", 2, 0.877, 0.838, "多 最 近 实 现", "过 去 过 去 一 百 经 济 完 成 对", 65
"1961年，联邦政府预算总额只有不到1000亿美元，而所有非保险类养老基金持有的股票市值就有174亿美元之多。 在那个时期，养老基金每年都有10亿美元的资金进入股市，有20亿美元进入债市。", "1961年，联邦政府的预算只有一千亿美元，但非保险类的养老基金加起来却有174美元之多。在那个时期，每年有10亿美元会流入股市，20亿美元汇流入债市", 1, 0.653, 0.81, "总 额 不 到 而 所 持 票 值 就 都 资 进 进", "一 千 但 加 起 来 却 会 流 汇 流", 72
"1961年，联邦政府预算总额只有不到1000亿美元，而所有非保险类养老基金持有的股票市值就有174亿美元之多。 在那个时期，养老基金每年都有10亿美元的资金进入股市，有20亿美元进入债市。", "在 1961 年 联邦政府的年度预算才只有不到1000亿美元，而非保险类养老基金持有的股票额就达到了174美元，在那个时期 养老基金每年都有 10 亿美元流入股市 20 亿美元流入债市", 2, 0.847, 0.91, "总 所 值 之 多 资 进 进", "度 才 达 了 流 流", 72
"1868年，纽约证券交易所实行的新规则大大限制了伊利管理层在华尔街市场上操纵伊利股票的能力，而且，此时大部分的伊利股票也已经被英国人买下了。", "1868年纽约交易所发布的新规则大大限制了伊利管理层操控伊利股票的能力，而且此时伊利股票也大多数被英国人买下了", 1, 0.726, 0.9, "证 券 实 行 在 华 尔 街 市 场 上 纵 部 分 已 经", "发 布 控 多 数", 62
"1868年，纽约证券交易所实行的新规则大大限制了伊利管理层在华尔街市场上操纵伊利股票的能力，而且，此时大部分的伊利股票也已经被英国人买下了。", "1868年。纽约证券交易所发布的新规定大大限制了伊利管理层在华尔街市场上的操控能力。而且此时。大部分伊利股票也已经被英国人买下了", 2, 0.855, 0.93, "实 行 则 纵", "发 布 定 控", 62
"第二天，在当时纽约这个小小的金融社区里，就有25起破产案发生。 沃尔特·利文斯顿，这个曾经在纽约的上流社区挨家挨户向大家保证过他还有钱的人，现在也宣布自己已经破产。", "第二天。纽约这个金融小镇里，就有25起破产。沃尔特 利文斯顿。这个曾经挨家挨户向大家保证过他还有钱的人，也宣布已经破产", 1, 0.694, 0.98, "在 当 时 社 区 案 发 生 在 上 流 社 区 现 在 自 己", "镇", 72
"第二天，在当时纽约这个小小的金融社区里，就有25起破产案发生。 沃尔特·利文斯顿，这个曾经在纽约的上流社区挨家挨户向大家保证过他还有钱的人，现在也宣布自己已经破产。", "第二天，在当时纽约这个小小的金融社区里。就有25件破产发生。沃尔特。斯利文顿。这个曾经在上流社区里挨家挨户向大家保证他很有钱的人。现在也宣布已经破了产", 2, 0.889, 0.955, "起 案 过 还 自 己", "件 很 了", 72
